Membership No  Date Joined  Active  
    94360      2020-6-17    no    
    76375      2020-10-6    no    
    70036      2019-10-12   no    
    87651      2020-1-18    no    
    85441      2017-11-13   no    
    53378      2017-4-12    no    
    32358      2019-9-3     no    
    50528      2018-3-6     no    
    71595      2017-9-14    no    
    45298      2015-3-24    no    
    77633      2019-11-1    no    
    38312      2019-5-18    no    
    89453      2017-8-24    no    
    16059      2017-2-20    no    
