Membership No  Date Joined  Active  
    84518      2016-2-6     no    
    58597      2019-2-7     no    
    36016      2015-2-21    no    
    80748      2018-6-8     no    
    64561      2015-4-1     no    
    19226      2019-5-21    no    
    59101      2017-11-16   no    
    80464      2019-8-5     no    
    73124      2018-7-4     no    
    52557      2015-7-10    no    
    67538      2016-10-1    no    
    82459      2016-1-13    no    
    63704      2016-8-6     no    
    57515      2016-3-18    no    
